lat,lon,temperature,humidity,pressure,wind_speed,aqi,State,Avg_Temperature (°C),Avg_Rainfall (mm),Avg_Radiation (kWh/m²/day),Avg_Humidity (%),Avg_Wind Speed (m/s),pH,Organic Carbon (%),Nitrogen (%),Bulk Density (g/cm�),Cation Exchange (cmol/kg),Sand (%),Silt (%),Clay (%),Crop
20.3443,91.1053,27.44,70,1007,4.03,1,Chhattisgarh,25.81,3.69,17.91,61.53,1.99,6.8,1.4,0.11,1.5,20,52,30,18,Rice
19.7349,81.4112,24.89,39,1005,1.63,3,Chhattisgarh,25.81,3.69,17.91,61.53,1.99,6.8,1.4,0.11,1.5,20,52,30,18,Rice
22.9502,72.5137,28.84,27,1005,4.88,3,Gujarat,26.86,2.02,19.51,51.93,2.97,7.2,0.9,0.07,1.62,21,53,27,20,Pearl Millet (Bajra)
23.8773,73.7873,30.34,18,1005,5.86,3,Gujarat,26.86,2.02,19.51,51.93,2.97,7.2,0.9,0.07,1.62,21,53,27,20,Pearl Millet (Bajra)
20.163,68.9216,27.03,78,1007,6.15,2,Gujarat,26.86,2.02,19.51,51.93,2.97,7.2,0.9,0.07,1.62,21,53,27,20,Pearl Millet (Bajra)
22.573,71.2858,27.17,46,1006,7.21,3,Gujarat,26.86,2.02,19.51,51.93,2.97,7.2,0.9,0.07,1.62,21,53,27,20,Pearl Millet (Bajra)
22.9495,72.7788,30.67,27,1005,5.59,3,Gujarat,26.86,2.02,19.51,51.93,2.97,7.2,0.9,0.07,1.62,21,53,27,20,Pearl Millet (Bajra)
32.824,80.7379,-3.09,34,1011,3.06,2,Himachal Pradesh,-0.6,2.4,16.88,74.04,1.78,7.1,1.5,0.14,1.6,24,50,28,22,Barley (Jau)
32.7472,81.925,0.75,26,1007,1.34,2,Himachal Pradesh,-0.6,2.4,16.88,74.04,1.78,7.1,1.5,0.14,1.6,24,50,28,22,Barley (Jau)
31.9824,80.3142,-6.17,45,1014,1.8,2,Himachal Pradesh,-0.6,2.4,16.88,74.04,1.78,7.1,1.5,0.14,1.6,24,50,28,22,Barley (Jau)
31.0662,81.105,-4.55,67,1015,0.82,1,Himachal Pradesh,-0.6,2.4,16.88,74.04,1.78,7.1,1.5,0.14,1.6,24,50,28,22,Barley (Jau)
34.1144,76.5048,-14.7,94,1023,2.11,2,Jammu and Kashmir,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
34.3754,82.6119,-6.55,65,1014,2.82,2,Jammu and Kashmir,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
35.3647,72.1764,9.82,81,1015,3,3,Jammu and Kashmir,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
34.1036,82.7053,-5.1,56,1014,5.37,2,Jammu and Kashmir,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
32.6219,75.7171,16.34,45,1007,4.61,5,Jammu and Kashmir,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
33.1051,83.0824,1.25,30,1006,3.3,2,Jammu and Kashmir,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
36.6718,76.7382,-8.14,95,1018,2.65,2,Jammu and Kashmir,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
35.4631,76.6774,-16.89,95,1025,2.45,2,Jammu and Kashmir,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
36.287,72.2858,7.77,62,1017,2.15,2,Jammu and Kashmir ,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
31.5294,68.4796,15.72,15,1008,3.44,2,Jammu and Kashmir ,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
34.9996,71.0261,6.61,59,1010,2.91,2,Jammu and Kashmir (,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
36.6088,69.6739,15.12,65,1012,0.17,2,Jammu and Kashmir ,-5.85,0.73,17.38,62.03,1.52,6.8,1.2,0.12,1.4,18,45,35,20,Wheat
24.0577,85.441,21.9,80,1006,3.69,4,Jharkhand,24.34,3.67,16.81,63.15,1.89,6.8,1.2,0.1,1.5,20,51,29,20,Maize (Corn)
23.1078,86.7262,25.12,81,1006,3.24,2,Jharkhand,24.34,3.67,16.81,63.15,1.89,6.8,1.2,0.1,1.5,20,51,29,20,Maize (Corn)
22.225,86.7549,25.78,77,1005,5.14,1,Jharkhand,24.34,3.67,16.81,63.15,1.89,6.8,1.2,0.1,1.5,20,51,29,20,Maize (Corn)
24.0665,84.0766,25.42,56,1005,1.27,4,Jharkhand,24.34,3.67,16.81,63.15,1.89,6.8,1.2,0.1,1.5,20,51,29,20,Maize (Corn)
14.7783,75.6074,24.54,74,1008,6.37,3,Karnataka,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
14.4496,74.7639,22.22,98,1009,1.87,2,Karnataka,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
12.3427,76.2632,22.23,81,1010,2.13,2,Karnataka,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
15.7066,75.1879,23.24,68,1009,4.64,2,Karnataka,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
14.2715,76.9715,27.19,48,1008,3.61,2,Karnataka,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
12.324,75.5179,20.42,97,1010,0.69,2,Karnataka,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
14.1004,71.9584,28,73,1008,3.86,2,Karnataka,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
12.7827,76.143,22.27,81,1010,3.45,2,Karnataka,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
14.0887,75.7565,24.17,62,1008,2.42,3,Karnataka,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
14.579,72.1056,27.92,73,1008,4.05,2,Karnataka ,25.66,1.73,19.57,62.39,3.35,6.9,1.5,0.12,1.5,22,48,32,20,Groundnut (Peanut)
9.0806,74.265,29.13,73,1008,5.02,2,Kerala,26.95,6.21,18.01,78.54,2.1,6.5,1.8,0.15,1.4,24,52,28,20,Rice (Paddy)
34.7424,77.4973,-10.81,95,1020,2.1,2,Ladakh,-8.68,0.52,17.92,60.37,2.12,7.5,0.8,0.05,1.6,15,50,30,20,Barley
35.5462,76.7024,-13.69,98,1026,1.37,2,Ladakh,-8.68,0.52,17.92,60.37,2.12,7.5,0.8,0.05,1.6,15,50,30,20,Barley
23.5851,80.7452,26.56,30,1004,3.78,4,Madhya Pradesh,25.5,3.11,18.52,51.55,2.17,6.8,1.2,0.1,1.52,19,54,28,18,Soybean
23.1919,79.5315,29.87,20,1003,2.65,3,Madhya Pradesh,25.5,3.11,18.52,51.55,2.17,6.8,1.2,0.1,1.52,19,54,28,18,Soybean
24.2484,77.176,30.13,15,1003,2.89,2,Madhya Pradesh,25.5,3.11,18.52,51.55,2.17,6.8,1.2,0.1,1.52,19,54,28,18,Soybean
23.1476,77.256,30.38,15,1004,6.17,3,Madhya Pradesh,25.5,3.11,18.52,51.55,2.17,6.8,1.2,0.1,1.52,19,54,28,18,Soybean
24.3256,76.7836,31.06,16,1004,2.27,3,Madhya Pradesh,25.5,3.11,18.52,51.55,2.17,6.8,1.2,0.1,1.52,19,54,28,18,Soybean
